,code,name,c_name,volume
5141,300017,网宿科技,云计算,2127698.0
5107,600728,佳都科技,云计算,1581682.0
5118,000063,中兴通讯,云计算,930709.0
5131,002195,二三四五,云计算,915872.0
5097,600410,华胜天成,云计算,873149.0
5125,000977,浪潮信息,云计算,781345.0
5100,600588,用友网络,云计算,743024.0
5098,600522,中天科技,云计算,654660.0
5128,002065,东华软件,云计算,545804.0
5122,000836,鑫茂科技,云计算,437747.0
5119,000066,中国长城,云计算,372288.0
5116,603019,中科曙光,云计算,364106.0
5127,002063,远光软件,云计算,326739.0
5144,300051,三五互联,云计算,319314.0
5117,000021,深科技,云计算,317630.0
5110,600797,浙大网新,云计算,299199.0
5140,300002,神州泰岳,云计算,294534.0
5109,600770,综艺股份,云计算,293351.0
5136,002396,星网锐捷,云计算,267214.0
5094,600198,大唐电信,云计算,247667.0
5092,600100,同方股份,云计算,221213.0
5112,600845,宝信软件,云计算,219177.0
5104,600601,方正科技,云计算,215899.0
5138,002642,荣之联,云计算,199131.0
5145,300188,美亚柏科,云计算,195548.0
5142,300020,银江股份,云计算,187849.0
5106,600718,东软集团,云计算,170955.0
5143,300036,超图软件,云计算,149851.0
5150,300366,创意信息,云计算,144560.0
5099,600536,中国软件,云计算,143654.0
5108,600756,浪潮软件,云计算,128098.0
5149,300297,蓝盾股份,云计算,124939.0
5146,300229,拓尔思,云计算,122247.0
5091,600037,歌华有线,云计算,117209.0
5139,002657,中科金财,云计算,116793.0
5137,002544,杰赛科技,云计算,110281.0
5103,600595,中孚实业,云计算,102507.0
5124,000971,高升控股,云计算,93376.0
5133,002268,卫 士 通,云计算,93130.0
5095,600289,ST信通,云计算,85591.0
5130,002095,生 意 宝,云计算,85019.0
5093,600105,永鼎股份,云计算,80032.0
5129,002093,国脉科技,云计算,75968.0
5151,300379,东方通,云计算,75711.0
5147,300245,天玑科技,云计算,67570.0
5123,000938,紫光股份,云计算,65684.0
5105,600602,云赛智联,云计算,60561.0
5135,002368,太极股份,云计算,59780.0
5121,000611,天首发展,云计算,58652.0
5120,000070,特发信息,云计算,58139.0
5126,002006,精功科技,云计算,56490.0
5132,002197,证通电子,云计算,53724.0
5114,601789,宁波建工,云计算,52991.0
5134,002315,焦点科技,云计算,49172.0
5113,600850,华东电脑,云计算,48465.0
5115,601928,凤凰传媒,云计算,41862.0
5102,600590,泰豪科技,云计算,38613.0
5101,600589,广东榕泰,云计算,34077.0
5096,600385,山东金泰,云计算,12777.0
5111,600804,鹏博士,云计算,0.0
5148,300290,荣科科技,云计算,0.0
5152,300383,光环新网,云计算,0.0
